date,transactions,active_addresses,hashrate,difficulty,miners_revenue,transaction_volume_btc,price_usd,transaction_volume_usd,utxo_count,total_btc,fees_usd,utxo_creation,daily_btc_mined,block_rewards_usd,cost_per_btc,asic_efficiency_jth,daily_electricity_kwh,daily_electricity_cost,electricity_cost_per_btc
2016-10-03,256665.0,494066.0,1822703.31313841,241227200229.0,1206848.12820648,250027.42194966,611.9609026561799,152745154.983948,41983375.0,15909162.5,45950.5165037495,41527.0,1875.0,1160897.6117027306,643.652335043456,171.94029850746267,7521507.642037426,376075.3821018713,200.57353712099803
2016-10-04,264662.0,481501.0,1894652.12813071,241227200229.0,1244767.25236389,275755.26830922,609.2425,167749287.493201,42012774.0,15911137.5,43218.0048134031,29399.0,1975.0,1201549.2475504868,630.2618999310835,171.6417910447761,7804835.632299641,390241.78161498206,197.59077550125673
2016-10-05,266811.0,466804.0,2002575.35061917,241227200229.0,1316947.96851393,243263.08788519,611.6363,148295757.862839,42043564.0,15913225.0,44378.2277010151,30790.0,2087.5,1272569.740812915,630.8732783300263,171.34328358208955,8235068.06869543,411753.4034347715,197.24713936995042
2016-10-06,274486.0,499902.0,1930626.53562686,241227200229.0,1335294.42831591,248767.77917287,610.9800000000001,151565507.710158,42127034.0,15915237.5,48215.0654172103,83470.0,2012.5,1287079.3628986997,663.5003370513839,171.044776119403,7925366.005355398,396268.30026776996,196.90350323864345
2016-10-07,266324.0,470157.0,1726771.55981533,241227200229.0,1140029.908164,230920.30898192,616.2188000000002,141600454.506918,42183505.0,15917025.0,44181.2116985448,56471.0,1787.5,1095848.696465455,637.7789696022377,170.7462686567164,7076155.215864133,353807.7607932067,197.93441163256318
2016-10-08,250672.0,444224.0,2171858.80432592,250540187707.846,1341669.22650482,213666.13838029,616.5338,131522852.330616,42185726.0,15919137.5,41546.7234551857,2221.0,2112.5,1300122.5030496342,635.1096930200331,170.44776119402985,8884523.299845496,444226.16499227483,210.2845751442721
2016-10-09,210548.0,410025.0,2056197.68456892,258522748404.0,1292901.5453841,194970.65518565,614.6238000000001,119547253.301373,42201827.0,15921137.5,36536.7099023183,16101.0,2000.0,1256364.8354817817,646.45077269205,170.1492537313433,8396652.037284426,419832.60186422133,209.91630093211066
2016-10-10,222996.0,394805.0,1606404.44106947,258522748404.0,994860.923783746,236501.59086797,614.3138,145452260.958636,42226411.0,15922687.5,41705.9546685587,24584.0,1550.0,953154.9691151873,641.8457572798361,169.8507462686567,6548375.834998413,327418.7917499207,211.23793016123915
2016-10-11,263565.0,456719.0,1786321.73846925,258522748404.0,1145287.98184433,304140.41208828,640.7,191535068.092531,42256955.0,15924425.0,50936.2879007591,30544.0,1737.5,1094351.6939435708,659.1585507017727,169.55223880597015,7268996.399645616,363449.81998228084,209.17975250778753
2016-10-12,233440.0,413349.0,1863429.15164058,258522748404.0,1236297.9955292,313358.35034925,635.6163,199143900.069083,42243805.0,15926225.0,45085.2442213483,-13150.0,1800.0,1191212.7513078516,686.8322197384445,169.2537313432836,7569416.088216422,378470.8044108211,210.26155800601174
2016-10-13,229703.0,398109.0,1644958.14765514,258522748404.0,1124610.24223968,273226.9641572,634.6223388041233,173562327.839718,42260519.0,15927825.0,44826.1895603027,16714.0,1600.0,1079784.0526793771,702.8814013998,168.955223880597,6670182.530670871,333509.1265335436,208.44320408346474
2016-10-14,239724.0,421160.0,1747768.03188358,258522748404.0,1140527.31006577,229433.64774361,638.1799999999996,145891861.261927,42354713.0,15929525.0,43657.6016090094,94194.0,1700.0,1096869.7084567607,670.8984176857471,168.65671641791045,7074547.615624282,353727.3807812141,208.0749298713024
2016-10-15,210448.0,390688.0,1824875.44505492,258522748404.0,1173084.48254233,202679.11780487,637.2088,129491942.695046,42390390.0,15931300.0,39968.456554066,35677.0,1775.0,1133116.025988264,660.8926662210309,168.3582089552239,7373586.27589952,368679.31379497604,207.70665565914143
2016-10-16,197876.0,379932.0,1670660.61871225,258522748404.0,1089308.27431962,186576.37635428,640.1862999999997,118953271.229318,42420121.0,15932925.0,37505.9377424799,29731.0,1625.0,1051802.3365771403,670.3435534274586,168.05970149253733,6738497.397026842,336924.86985134217,207.3383814469798
2016-10-17,237232.0,419627.0,1606404.44106947,258522748404.0,1040267.86487848,254761.97328032,637.4825000000001,162092886.470044,42424599.0,15934487.5,46084.9676498385,4478.0,1562.5,994182.8972286414,665.7714335222272,167.76119402985074,6467815.851088064,323390.7925544032,206.97010723481804
2016-10-18,251521.0,450933.0,1991941.50692614,258522748404.0,1280096.20431063,339498.1628114,635.465,215694366.552112,42407177.0,15936425.0,49079.5672328427,-17422.0,1937.5,1231016.6370777872,660.694815128067,167.46268656716418,8005821.029627926,400291.0514813963,206.60183302265617
2016-10-19,199083.0,340010.0,1619255.67659802,258522748404.0,1025580.94892297,243186.52366666,628.4375,153607523.148711,42364709.0,15937987.5,39302.6381803463,-42468.0,1562.5,986278.3107426236,656.3718073107008,167.16417910447763,6496357.102530564,324817.85512652824,207.88342728097808
2016-10-20,270380.0,475343.0,1722065.56082647,258522748404.0,1105524.36919576,290684.8813527,628.5425,182155730.709167,42385485.0,15939662.5,55962.1615881296,20776.0,1675.0,1049562.2076076304,660.0145487735881,166.86567164179104,6896487.034044155,344824.35170220776,205.86528459833298
