date,transactions,active_addresses,hashrate,difficulty,miners_revenue,transaction_volume_btc
2015-02-23,101515.0,213050.0,317934.931985704,46684376316.8603,1030310.14904036,183441.68241954
2015-02-24,105125.0,197476.0,320255.624919906,46684376316.8603,833758.262454456,139221.64415328
2015-02-25,105394.0,193898.0,362028.097735547,46684376316.8603,1173922.80517658,225218.05099419
2015-02-26,100817.0,190948.0,334179.78252512,46684376316.8603,1039087.66750926,160401.96257893
2015-02-27,101474.0,198801.0,366669.483603951,46684376316.8603,1068531.12624588,256132.06496457
2015-02-28,89632.0,238945.0,313293.5461173,46684376316.8603,1138555.66311946,143634.39750773
2015-03-01,88728.0,230566.0,348103.940130333,46684376316.8603,979660.080977565,142798.43442545
2015-03-02,104937.0,221621.0,348103.940130333,46684376316.8603,1277153.04012241,240243.82228487
2015-03-03,110981.0,218185.0,357386.711867142,46684376316.8603,1356751.04799536,314368.32179989
2015-03-04,98529.0,200738.0,364348.790669749,46684376316.8603,1150222.61728387,250649.78534928
2015-03-05,101115.0,210532.0,264558.994499053,46684376316.8603,1112274.88396849,274906.00779719
2015-03-06,93869.0,190781.0,366669.483603951,46684376316.8603,1069815.36294775,206218.66287627
2015-03-07,91505.0,213542.0,327217.703722513,46684376316.8603,1093338.37354889,253079.8441344
2015-03-08,87527.0,219897.0,362028.097735547,46684376316.8603,1263093.90388293,425685.08013448
2015-03-09,105536.0,213987.0,311208.023870146,47427554950.6483,1228704.25963725,300075.37846979
2015-03-10,105541.0,202831.0,356003.118215091,47427554950.6483,1339461.47266863,305980.7845537
2015-03-11,100765.0,202784.0,391367.666382153,47427554950.6483,1368494.2516486,231117.29307164
2015-03-12,97095.0,191013.0,313565.660414617,47427554950.6483,1094308.30761627,217640.63281803
2015-03-13,96036.0,196893.0,327711.479681442,47427554950.6483,1124821.81863606,202787.74814143
2015-03-14,89511.0,221145.0,315923.296959088,47427554950.6483,1051243.33341914,136863.1342514
2015-03-15,84934.0,219686.0,346572.572037208,47427554950.6483,1111367.7239335,105225.41650606
2015-03-16,105218.0,215332.0,308850.387325675,47427554950.6483,1044154.1050261,160588.82629257
2015-03-17,99561.0,189410.0,337142.025859325,47427554950.6483,1118080.70032732,168149.40690237
